Дата,Выявлено всего,Заражений за день,Выздоровлений,Выздоровлений за день,Смертей за день,Смертей,"Летальность, %",% Выздоровлений,% Смертей,% прирост,Выздоровевших и умерших,Характерстика ДБ
2021-07-18,5958133,25018,5341231,18886,764,148419,2.49,0.003548435886812973,0.005174223697131719,0.004216672017987254,5489650,19.0
2021-07-19,5982766,24633,5359995,18764,719,149138,2.49,0.0035130478348530674,0.004844393238062406,0.0041343487968461545,5509133,19.0
2021-07-20,6006536,23770,5382213,22218,784,149922,2.5,0.004145153120478584,0.00525687618179127,0.003973078672975028,5532135,19.0
2021-07-21,6030240,23704,5404797,22584,783,150705,2.5,0.004196043523361226,0.005222715812222446,0.003946367756723745,5555502,19.0
2021-07-22,6054711,24471,5427457,22660,796,151501,2.5,0.0041925718949296096,0.005281842009223325,0.004058047440897772,5578958,19.0
2021-07-23,6078522,23811,5450004,22547,795,152296,2.51,0.004154247560137271,0.0052474901155767925,0.0039326402201524955,5602300,19.0
2021-07-24,6102469,23947,5471956,21952,799,153095,2.51,0.004027886952009618,0.005246362347008482,0.003939609003636102,5625051,19.0
2021-07-25,6126541,24072,5490634,18678,779,153874,2.51,0.0034134046399496576,0.005088343838792975,0.0039446329018630885,5644508,19.0
2021-07-26,6149780,23239,5506834,16200,727,154601,2.51,0.002950478942868928,0.004724644839284142,0.003793168118845447,5661435,19.0
2021-07-27,6172812,23032,5526950,20116,779,155380,2.52,0.003652915631740417,0.0050387772394744346,0.0037451746241328188,5682330,20.0
2021-07-28,6195232,22420,5547529,20579,798,156178,2.52,0.003723391744090421,0.005135796112755831,0.00363205618444229,5703707,20.0
2021-07-29,6218502,23270,5568363,20834,799,156977,2.52,0.003755545937659921,0.00511595743318516,0.003756114379574571,5725340,20.0
2021-07-30,6242066,23564,5588848,20485,794,157771,2.53,0.003678819071242234,0.005058065831300196,0.003789337046124608,5746619,20.0
2021-07-31,6265873,23807,5608619,19771,792,158563,2.53,0.0035375805532731346,0.005019933954909296,0.003813961595407589,5767182,20.0
2021-08-01,6288677,22804,5625890,17271,789,159352,2.53,0.003079367666086741,0.004975940162585291,0.0036393970959833774,5785242,20.0
2021-08-02,6312185,23508,5640783,14893,785,160137,2.54,0.0026472255945282352,0.004926201114513695,0.0037381471492334843,5800920,21.0
2021-08-03,6334195,22010,5659746,18963,788,160925,2.54,0.003361767329110199,0.004920786576493974,0.0034869066733627108,5820671,21.0
2021-08-04,6356784,22589,5679842,20096,790,161715,2.54,0.003550689377226579,0.004909119154885788,0.0035661990197648485,5841557,21.0
2021-08-05,6379904,23120,5700212,20370,794,162509,2.55,0.003586367367261367,0.004909872306217754,0.0036370592425352117,5862721,21.0
2021-08-06,6402564,22660,5720353,20141,792,163301,2.55,0.0035333773550878522,0.004873576232701016,0.003551777581606297,5883654,21.0
2021-08-07,6424884,22320,5739838,19485,793,164094,2.55,0.0034062583200722423,0.004856063343151584,0.003486103379833461,5903932,22.0
2021-08-08,6447750,22866,5755507,15669,787,164881,2.56,0.0027298679858212,0.004796031542896095,0.0035589747612563283,5920388,22.0
2021-08-09,6469910,22160,5769981,14474,769,165650,2.56,0.0025148088604531878,0.0046639697721386755,0.003436857818618799,5935631,22.0
2021-08-10,6491288,21378,5788710,18729,792,166442,2.56,0.003245937898235685,0.004781165107153651,0.003304219069507841,5955152,23.0
2021-08-11,6512859,21571,5808777,20067,799,167241,2.57,0.003466575454635024,0.004800471034955178,0.0033230693199870487,5976018,23.0
2021-08-12,6534791,21932,5828972,20195,808,168049,2.57,0.0034766354432267392,0.004831351163889329,0.003367491911002496,5997021,23.0
2021-08-13,6557068,22277,5848340,19368,815,168864,2.58,0.003322712821403062,0.004849775958202685,0.0034089843118165764,6017204,23.0
2021-08-14,6579212,22144,5867890,19550,819,169683,2.58,0.0033428289052961357,0.004850056850483231,0.0033771191636262628,6037573,23.0
2021-08-15,6600836,21624,5884316,16426,816,170499,2.58,0.0027993026454142807,0.004808967309630319,0.0032867157951439463,6054815,23.0
2021-08-16,6621601,20765,5899917,15601,806,171305,2.59,0.002651285213098653,0.004727300453374994,0.0031458136514830315,6071222,24.0
2021-08-17,6642559,20958,5918324,18407,805,172110,2.59,0.003119874398233025,0.004699220688246132,0.003165095571297627,6090434,24.0
2021-08-18,6663473,20914,5939037,20713,799,172909,2.59,0.003499808391700165,0.0046423798733368216,0.0031484853954628638,6111946,24.0
2021-08-19,6684531,21058,5963054,24017,791,173700,2.6,0.004043921598737343,0.0045746606596532855,0.0031602139004689445,6136754,24.0
2021-08-20,6705523,20992,5983405,20351,785,174485,2.6,0.0034128485168840594,0.004519286125503674,0.0031403848676891943,6157890,24.0
2021-08-21,6726523,21000,6004052,20647,797,175282,2.61,0.0034507107575034728,0.00456772788491855,0.003131746770535182,6179334,24.0
2021-08-22,6747087,20564,6019466,15414,762,176044,2.61,0.0025672662395328505,0.004347280382469343,0.003057151517953605,6195510,24.0
2021-08-23,6766541,19454,6034867,15401,776,176820,2.61,0.002558532600732466,0.004407988911862892,0.0028833183861420864,6211687,25.0
2021-08-24,6785374,18833,6053503,18636,794,177614,2.62,0.0030880547988878515,0.004490442257663263,0.002783253659439877,6231117,25.0
2021-08-25,6804910,19536,6073157,19654,809,178423,2.62,0.00324671516640862,0.004554821128964992,0.0028791338546703127,6251580,25.0
2021-08-26,6824540,19630,6092818,19661,820,179243,2.63,0.0032373607334703625,0.004595820045621979,0.002884681795938482,6272061,25.0
2021-08-27,6844049,19509,6112035,19217,798,180041,2.63,0.0031540413647674907,0.00445205670514337,0.002858654209660916,6292076,25.0
2021-08-28,6863541,19492,6131446,19411,799,180840,2.63,0.003175865321451754,0.004437878038891174,0.002848021690084357,6312286,25.0
2021-08-29,6882827,19286,6148250,16804,797,181637,2.64,0.0027406259469626715,0.004407210794072025,0.0028099198358397803,6329887,26.0
2021-08-30,6901152,18325,6162430,14180,792,182429,2.64,0.0023063473346074392,0.004360345083876061,0.0026624234489693865,6344859,26.0
2021-08-31,6918965,17813,6181054,18624,795,183224,2.65,0.0030221844304925143,0.00435785977010239,0.002581163260858555,6364278,26.0
2021-09-01,6937333,18368,6199379,18325,790,184014,2.65,0.002964704725116452,0.004311662227655777,0.0026547323190679872,6383393,26.0
2021-09-02,6956318,18985,6218048,18669,798,184812,2.66,0.003011430661038705,0.0043366265610225154,0.002736642453230909,6402860,26.0
2021-09-03,6975174,18856,6236738,18690,799,185611,2.66,0.0030057664398859267,0.004323312339025609,0.0027106293875582828,6422349,27.0
2021-09-04,6993954,18780,6255475,18737,796,186407,2.67,0.003004294873377722,0.004288538933576058,0.0026924059528836697,6441882,27.0
2021-09-05,7012599,18645,6270731,15256,793,187200,2.67,0.0024388235905346,0.0042541320873144,0.0026658739820135673,6457931,27.0
